id;regname.ru;kikzh.2016;kikzh.2010
Bashkortostan;Республика Башкортостан;0,595;0,603
Kirov;Кировская область;0,553;0,534
Mariy-El;Республика Марий Эл;0,526;0,506
Mordovia;Республика Мордовия;0,551;0,545
Nizhegorod;Нижегородская область;0,622;0,576
Orenburg;Оренбургская область;0,569;0,549
Penza;Пензенская область;0,571;0,547
Perm';Пермский край;0,57;0,575
Samara;Самарская область;0,582;0,587
Saratov;Саратовская область;0,548;0,53
Tatarstan;Республика Татарстан;0,648;0,62
Udmurt;Удмуртская Республика;0,583;0,562
Ul'yanovsk;Ульяновская область;0,565;0,534
Chuvash;Чувашская Республика;0,536;0,529
